Year,County,PSI,PSIDescription,Count,Population,ObsRate
2008,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 105,909 ",0.94
2009,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 106,674 ",1.87
2010,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 108,385 ",1.85
2011,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 109,902 ",0.91
2012,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 106,934 ",1.87
2013,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 107,252 ",0.00
2014,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 113,845 ",0.88
2015,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 81,407 ",1.23
2005,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 194,828 ",1.03
2006,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 194,956 ",4.62
2007,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 196,294 ",2.55
2008,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 197,929 ",1.52
2009,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 199,904 ",1.00
2010,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 201,547 ",0.50
2011,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 203,181 ",2.46
2012,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 200,046 ",0.50
2013,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 202,161 ",0.49
2014,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 201,613 ",0.99
2015,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 152,906 ",1.31
2005,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,466 ",0.00
2006,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 14,728 ",6.79
2007,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,903 ",0.00
2008,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,996 ",0.00
2009,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,925 ",0.00
2010,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 15,017 ",0.00
2011,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 15,033 ",0.00
2012,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,563 ",0.00
2013,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,491 ",0.00
2014,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,334 ",0.00
2015,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 12,911 ",0.00
2005,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 67,693 ",2.95
2006,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 67,469 ",4.45
2007,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 67,582 ",1.48
2008,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 68,025 ",0.00
2009,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 68,421 ",4.38
2010,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 68,517 ",0.00
2011,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 68,336 ",1.46
2012,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 68,344 ",1.46
2013,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 68,379 ",1.46
2014,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 69,334 ",1.44
2015,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 51,516 ",1.94
2005,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 162,795 ",3.69
2006,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 165,009 ",1.82
2007,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 167,724 ",1.19
2008,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 169,736 ",1.18
2009,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 171,809 ",2.33
2010,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 175,232 ",0.00
2011,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 178,783 ",2.24
2012,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 174,274 ",1.72
2013,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 176,084 ",1.14
2014,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 184,892 ",1.62
2015,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 133,727 ",0.75
2005,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,407 ",0.00
2006,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,461 ",0.00
2007,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,429 ",0.00
2008,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,469 ",0.00
2009,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,565 ",0.00
2010,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,599 ",0.00
2011,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,517 ",0.00
2012,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 9,249 ",0.00
2013,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 9,141 ",0.00
2014,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 8,570 ",0.00
2015,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 7,417 ",0.00
2005,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 10,514 ",0.00
2006,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 10,747 ",0.00
